candidate_id,name,genes,metabolite_candidates,mapping_status,review_acute_plasma_direction,review_chronic_plasma_direction,review_species_or_models,review_source_tissues,review_target_tissues,review_action_summary,review_reference_numbers,source_pdf_page,mapping_notes,plasma_features,plasma_test_count,plasma_status,plasma_source_fdr_hits,plasma_screen_bh_hits,plasma_hit_directions,plasma_min_source_fdr,plasma_min_screen_bh,blood|prot-ol,blood|metab,blood|transcript-rna-seq,muscle|transcript-rna-seq,muscle|prot-pr,muscle|prot-ph,muscle|metab,adipose|transcript-rna-seq,adipose|prot-pr,adipose|prot-ph,adipose|metab,review_signaling_modes
T3_01,"12,13-diHOME",,"12,13-diHOME",unmatched,up,up,H;A;C,brown adipose,brown adipose;muscle;heart,Fatty-acid uptake,91;93;169,7,"Exclude 9,10-diHOME: different regioisomer.",0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,A;E
T3_02,Adiponectin,ADIPOQ,,gene,up,up;unchanged,H;A;C,white adipose,liver;muscle;heart;other,Glucose and lipid use,58;153;186,7,,0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,absent,tested_NS,tested_NS,absent,absent,tested_NS,tested_NS,absent,absent,A;P;E
T3_03,Angiopoietin 1,ANGPT1,,gene,up;unchanged,up;down,H;A;C,muscle,vasculature,Angiogenesis,47;68;69,7,"Table prints Angiopoietin I; mapped to ANGPT1, not ANGPT2.",1,10,present_no_source_FDR_hit,0,0,,0.263115215069171,0.285020470909221,tested_NS,absent,up,tested_NS,absent,absent,absent,tested_NS,absent,absent,absent,P
T3_04,Angiopoietin-like protein 4,ANGPTL4,,gene,up,up;unchanged,H;A,liver,white adipose,Lipoprotein-lipase inhibition and lipid mobilization,39;68;79,7,,1,10,present_no_source_FDR_hit,0,0,,0.163997830671796,0.151922913526056,tested_NS,absent,absent,down;up,absent,absent,absent,tested_NS,tested_NS,absent,absent,E
T3_05,Apelin,APLN,,gene,up,up;unchanged,H;A;C,white adipose;muscle,muscle,Muscle maintenance and mitochondria,94;95;96,7,APLN encodes peptide precursor; RNA or total protein does not identify active processed peptides.,0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,absent,up,absent,absent,absent,tested_NS,absent,absent,absent,A;E
T3_06,BAIBA,,Aminoisobutyric acid,ambiguous,up,up,H;A;C,muscle,white adipose;liver;beta cells,Adipose remodeling and fuel metabolism,55;113;187,7,"Raw beta-Aminoisobutyric-acid maps to generic RefMet name, but KEGG C03665 denotes alpha/2-aminoisobutyric acid. Exclude from confirmed molecule claims pending annotation resolution.",1,10,identity_unresolved,5,0,down,8.7435292313835e-06,,absent,identity_unresolved,absent,absent,absent,absent,identity_unresolved,absent,absent,absent,absent,E;P
T3_07,Catecholamines,,Epinephrine;Norepinephrine;Adrenaline;Noradrenaline;Dopamine,unmatched,up,unchanged,H,adrenal,muscle;white adipose,Glycogen breakdown and lipolysis,40,7,"Molecule class, not one analyte. None of these exact names occurs in screened result tables; biosynthetic genes are not substitutes.",0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,E
T3_08,Fetuin-A,AHSG,,gene,down;unchanged,down,H,liver,muscle;pancreas,Adverse insulin and beta-cell effects,39;72;97;101;115,7,,0,0,absent_from_analyzed_tables,0,0,,,,absent,absent,absent,absent,tested_NS,tested_NS,absent,absent,tested_NS,up,absent,E
T3_09,Fractalkine,CX3CL1,,gene,up,unchanged,H;A;C,muscle,leukocytes;endothelium;myocytes;beta cells,"Immune recruitment, vascular and islet signaling",66;70;71;114,7,Soluble versus membrane-associated forms not resolved by gene-level matching.,1,10,response_detected,2,2,up,0.0002274167727112,2.27497073202395e-05,up,absent,absent,up,absent,absent,absent,up,absent,absent,absent,P;E
T3_10,FGF21,FGF21,,gene,up,unchanged,H;A,liver;white adipose;other,heart;white adipose;other,Fuel use and stress protection,56;72;73;106;172;188,7,Liver is not sampled in this human acute dataset.,1,10,present_no_source_FDR_hit,0,1,,0.0714147990598623,0.0434687820671356,tested_NS,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,E;A;P
