candidate_id,name,genes,metabolite_candidates,mapping_status,review_acute_plasma_direction,review_chronic_plasma_direction,review_species_or_models,review_source_tissues,review_target_tissues,review_action_summary,review_reference_numbers,source_pdf_page,mapping_notes,review_signaling_modes
T3_01,"12,13-diHOME",,"12,13-diHOME",unmatched,up,up,H;A;C,brown adipose,brown adipose;muscle;heart,Fatty-acid uptake,91;93;169,7,"Exclude 9,10-diHOME: different regioisomer.",A;E
T3_02,Adiponectin,ADIPOQ,,gene,up,up;unchanged,H;A;C,white adipose,liver;muscle;heart;other,Glucose and lipid use,58;153;186,7,,A;P;E
T3_03,Angiopoietin 1,ANGPT1,,gene,up;unchanged,up;down,H;A;C,muscle,vasculature,Angiogenesis,47;68;69,7,"Table prints Angiopoietin I; mapped to ANGPT1, not ANGPT2.",P
T3_04,Angiopoietin-like protein 4,ANGPTL4,,gene,up,up;unchanged,H;A,liver,white adipose,Lipoprotein-lipase inhibition and lipid mobilization,39;68;79,7,,E
T3_05,Apelin,APLN,,gene,up,up;unchanged,H;A;C,white adipose;muscle,muscle,Muscle maintenance and mitochondria,94;95;96,7,APLN encodes peptide precursor; RNA or total protein does not identify active processed peptides.,A;E
T3_06,BAIBA,,Aminoisobutyric acid,ambiguous,up,up,H;A;C,muscle,white adipose;liver;beta cells,Adipose remodeling and fuel metabolism,55;113;187,7,"Raw beta-Aminoisobutyric-acid maps to generic RefMet name, but KEGG C03665 denotes alpha/2-aminoisobutyric acid. Exclude from confirmed molecule claims pending annotation resolution.",E;P
T3_07,Catecholamines,,Epinephrine;Norepinephrine;Adrenaline;Noradrenaline;Dopamine,unmatched,up,unchanged,H,adrenal,muscle;white adipose,Glycogen breakdown and lipolysis,40,7,"Molecule class, not one analyte. None of these exact names occurs in screened result tables; biosynthetic genes are not substitutes.",E
T3_08,Fetuin-A,AHSG,,gene,down;unchanged,down,H,liver,muscle;pancreas,Adverse insulin and beta-cell effects,39;72;97;101;115,7,,E
T3_09,Fractalkine,CX3CL1,,gene,up,unchanged,H;A;C,muscle,leukocytes;endothelium;myocytes;beta cells,"Immune recruitment, vascular and islet signaling",66;70;71;114,7,Soluble versus membrane-associated forms not resolved by gene-level matching.,P;E
T3_10,FGF21,FGF21,,gene,up,unchanged,H;A,liver;white adipose;other,heart;white adipose;other,Fuel use and stress protection,56;72;73;106;172;188,7,Liver is not sampled in this human acute dataset.,E;A;P
T3_11,Follistatin,FST,,gene,up,up,H;A,liver;other,muscle,Muscle growth and metabolic signaling,39;97;98;100;116;189,7,Do not substitute FSTL1 or FSTL3.,E
T3_12,GDF15,GDF15,,gene,up,up,H;A,many,many,Stress-associated metabolic signaling,80;190,7,,E
T3_13,HSP72,HSPA1A;HSPA1B,,gene,up,up,H;A,liver;other,many,Cellular stress protection,107;173,7,Inducible HSP70 family mapping; retain paralogs and ambiguous protein groups separately.,A;E
T3_14,IL-6,IL6,,gene,up,down,H;A;C,muscle,many,"Metabolic, immune and muscle effects",15;16;30;78;81;119;120;121,7,Keep multiple Olink assay IDs; do not merge protein values or substitute IL6R.,A;P;E
T3_15,IL-7,IL7,,gene,up,unchanged,H;A;C,muscle,muscle;bone,Muscle development,102;191,7,,A;P
T3_16,IL-8,CXCL8,,gene,up;unchanged,unchanged,H;A;C,muscle,endothelium,Angiogenesis and blood flow,48;50;74,7,IL8 alias maps to CXCL8.,P
T3_17,IL-15,IL15,,gene,up;unchanged,unchanged,H;A;C,immune cells;other,immune cells;other,"Immune, metabolic and muscle effects",57;99;174,7,Do not substitute IL15RA.,A;P;E
T3_18,Irisin,FNDC5,,gene,up,down;unchanged,H;A,muscle,white adipose;bone;beta cells;brain,Metabolic effects primarily demonstrated in animal models,84;117;167,7,FNDC5 is the precursor. Tissue RNA or total FNDC5 protein does not measure circulating irisin.,E
T3_19,Lactate,,Lactic acid;Lactate,exact_metabolite,up,unchanged,H,muscle,many;central nervous system,Gluconeogenic substrate and inter-organ signal,41;175,7,Research and clinical assays retained separately.,A;E
T3_20,METRNL,METRNL,,gene,up,up,H;A;C,white adipose;muscle;other,immune cells,Energy expenditure and glucose regulation,134;192;193,8,,E
T3_21,Myonectin (CTRP15),ERFE,,gene,up;unchanged,unchanged,H;A,muscle,liver;white adipose;heart,Fatty-acid uptake and possible cardiac effects,27;75;82;194,8,ERFE aliases include FAM132B and C1QTNF15; verified against NCBI Gene 151176.,E
